From	To
A0A9S2	WBGene00021430
A0FLQ6	WBGene00020964
A0PD34	WBGene00014848
A0SQM0	WBGene00021661
A3QM97	WBGene00016879
A3QM98	WBGene00000711
A3QMB1	WBGene00016580
A3QMB3	WBGene00016582
A3QMB7	WBGene00016586
A3QMC5	WBGene00004448
A3QMC6	WBGene00016592
A3QMC8	WBGene00016583
A4F324	WBGene00011612
A4UVJ7	WBGene00022616
A4UVL8	WBGene00045337
A4UZ34	WBGene00022123
A5HWB2	WBGene00012666
A5JYQ9	WBGene00011116
A5JYR8	WBGene00000692
A5JYT6	WBGene00007422
A5JYU6	WBGene00009665
A5JYW9	WBGene00004117
A5JYX5	WBGene00000967
A5JYX8	WBGene00011488
A5JYY7	WBGene00010856
A5PEW5	WBGene00004364
A5PEX5	WBGene00002996
A5PEX8	WBGene00013365
A6PVA1	WBGene00016654
A6ZJ73	WBGene00007959
A7DT40	WBGene00045433
A7DT41	WBGene00018632
A7DTF0	WBGene00003406
A7DTF2	WBGene00012930
A7IQW5	WBGene00016591
A7LPG5	WBGene00044026
A7LPI7	WBGene00007702
A7WK41	WBGene00022379
A7WK43	WBGene00050885
A7WK47	WBGene00021012
A8DYR7	WBGene00017973
A8DYS0	WBGene00001340
A8WFG1	WBGene00016200
A8WFH3	WBGene00020800
A8WFI7	WBGene00020596
A8WFJ8	WBGene00016190
A8WFJ9	WBGene00017687
A8WFK6	WBGene00019846
A8WHT1	WBGene00194707
A8WHT8	WBGene00010703
A8XQE0	WBGene00013676
A9CZN9	WBGene00017084
A9D0C3	WBGene00020171
A9D2X7	WBGene00021352
A9D4E4	WBGene00017430
A9D4S6	WBGene00019762
A9D699	WBGene00016992
A9QY30	WBGene00077500
A9UJN4	WBGene00007554
A9UJN7	WBGene00009113
A9Z1L1	WBGene00005648
A9Z1L6	WBGene00016019
B0M0M9	WBGene00077521
B1GRK5	WBGene00018286
B1GRL5	WBGene00077643
B1Q236	WBGene00006365
B1Q240	WBGene00001101
B1Q249	WBGene00015926
B1Q254	WBGene00007593
B1V898	WBGene00077701
B1V899	WBGene00022138
B1V8A0	WBGene00006791
B2D6K9	WBGene00008166
B2D6M2	WBGene00003041
B2FDA8	WBGene00004873
B3CJ34	WBGene00021697
B3CKG1	WBGene00185048
B3GWA1	WBGene00017778
B3GWC3	WBGene00000376
B3GWE1	WBGene00077763
B3KLZ9	WBGene00016562
B3KYC0	WBGene00013678
B3WFV9	WBGene00009920
B3WFW5	WBGene00014119
B3WFY8	WBGene00001121
B3WFZ2	WBGene00000058
B3WFZ3	WBGene00007857
B4E3X6	WBGene00012909
B5BM26	WBGene00086566
B5BM47	WBGene00011393
B5WWL2	WBGene00138717
B6VQ59	WBGene00008694
B6VQ94	WBGene00012356
B7FAS6	WBGene00012990
B7WN63	WBGene00000994
B7WN72	WBGene00006444
B7WNA0	WBGene00009126
B7WNB4	WBGene00175030
B9WRT3	WBGene00007505
B9WRU1	WBGene00012769
C0P278	WBGene00185014
C0P287	WBGene00185001
C0P289	WBGene00013034
C0VXV5	WBGene00022130
C0VXV6	WBGene00021935
C0Z1Y1	WBGene00021131
C0Z1Y7	WBGene00018239
C0Z1Y9	WBGene00185078
C1P629	WBGene00008362
C1P633	WBGene00010444
C2BR94	WBGene00021311
C2BR97	WBGene00004881
C5NU64	WBGene00021324
C6KRL6	WBGene00006976
C6KRM7	WBGene00004372
C6KRN3	WBGene00012208
C7FZU5	WBGene00077771
C7FZU9	WBGene00009856
C7IVS4	WBGene00012936
C8JQP7	WBGene00194710
C8JQQ9	WBGene00007135
D0FK02	WBGene00013790
D0IMZ5	WBGene00022048
D0PV95	WBGene00002244
D0VWM8	WBGene00006514
D0VWN5	WBGene00012258
D0Z5N1	WBGene00000793
D0Z5N4	WBGene00013591
D0Z5P0	WBGene00013730
D1MN74	WBGene00009579
D1MN80	WBGene00001151
D3KFR7	WBGene00016150
D3KZG3	WBGene00020490
D3YT08	WBGene00002150
D4PH96	WBGene00000231
D4YW53	WBGene00006423
D4YWC2	WBGene00013131
D5MCT5	WBGene00008485
D6RYD7	WBGene00022447
D6RYD9	WBGene00044736
D6RYE0	WBGene00195063
D6RYE3	WBGene00021994
D6VPA1	WBGene00018976
D7SFI3	WBGene00043097
D7SFJ0	WBGene00018465
D9N129	WBGene00007428
D9PTN5	WBGene00008999
D9PTP5	WBGene00013354
E0AHA7	WBGene00006803
E0AHC6	WBGene00006808
E0AHD3	WBGene00000139
E0DBL0	WBGene00021783
E0R7L2	WBGene00013735
E1B6Q7	WBGene00018481
E1B6R8	WBGene00195248
E1B6S1	WBGene00009686
E1NZ10	WBGene00012779
E1TU65	WBGene00016588
E2JKZ0	WBGene00001017
E2JL04	WBGene00002153
E2S7J2	WBGene00021963
E5QCE7	WBGene00001032
E5QCH1	WBGene00013877
E5QCI3	WBGene00010720
E5QCJ3	WBGene00011941
E7EM37	WBGene00001053
E9P851	WBGene00017063
E9P860	WBGene00014208
E9P861	WBGene00006384
E9RKC7	WBGene00022388
F0IWS6	WBGene00022870
F0IWT2	WBGene00002040
F3Y5P4	WBGene00013082
F5GU62	WBGene00020134
F5GU86	WBGene00009007
F5GUC6	WBGene00004060
F5GUD1	WBGene00006669
F5GUD3	WBGene00006609
G2HK15	WBGene00013383
G3MU29	WBGene00013895
G4RT15	WBGene00015237
G4RY15	WBGene00015631
G4RYA5	WBGene00009521
G4RZJ9	WBGene00017039
G4S035	WBGene00019609
G4S7C7	WBGene00021820
G4SB35	WBGene00044689
G4SDH4	WBGene00021626
G4SFC1	WBGene00018478
G4SFC3	WBGene00006742
G4SLH0	WBGene00006436
G4SNP0	WBGene00021840
G4SNP8	WBGene00021439
G4SNS6	WBGene00022054
G4SQY7	WBGene00020837
G4SRS5	WBGene00022281
G4SSQ1	WBGene00022270
G5EBE2	WBGene00012868
G5EBE3	WBGene00018892
G5EBE4	WBGene00019018
G5EBE8	WBGene00009065
G5EBF0	WBGene00011083
G5EBF1	WBGene00004729
G5EBF2	WBGene00003478
G5EBF4	WBGene00012144
G5EBF7	WBGene00007664
G5EBF9	WBGene00009999
G5EBG0	WBGene00001862
G5EBG1	WBGene00013290
G5EBH0	WBGene00001177
G5EBH1	WBGene00009498
G5EBH6	WBGene00010408
G5EBH7	WBGene00019760
G5EBI0	WBGene00021883
G5EBI4	WBGene00019329
G5EBJ3	WBGene00008304
G5EBJ4	WBGene00013835
G5EBJ7	WBGene00001404
G5EBJ9	WBGene00001477
G5EBK0	WBGene00011604
G5EBK3	WBGene00001333
G5EBK4	WBGene00010882
G5EBK7	WBGene00001644
G5EBK8	WBGene00004310
G5EBM1	WBGene00000819
G5EBM4	WBGene00000539
G5EBM7	WBGene00013578
G5EBN7	WBGene00003735
G5EBR7	WBGene00001372
G5EBS1	WBGene00001740
G5EBS5	WBGene00000089
G5EBT5	WBGene00003391
G5EBT7	WBGene00000583
G5EBT9	WBGene00010418
G5EBU3	WBGene00016283
G5EBU4	WBGene00006970
G5EBV4	WBGene00002273
G5EBV8	WBGene00003889
G5EBW3	WBGene00010138
