not mapped
A2A3N6
A2BEX4
A4D256
A6NC97
A6NCK2
A6NDR6
A6NDX5
A6NE09
A6NEC2
A6NFC9
A6NGU5
A6NJY1
A6NK02
A6NKH3
A6NL99
A6NLI5
A6NMU1
A6NMZ5
A6NNM8
A6ZJ12
A8K0S8
A8MPP1
A8MUH7
A8MVS1
A8MWA4
A8MWK0
A8MWX3
A9Z1Z3
B2RPK0
B7ZC32
C4AMC7
C9JQ55
D6REW3
E7EML9
E7EMT2
E9PLD5
F5GWS7
H0YG68
H7BY17
J3QRK5
M0R242
M0R312
O43423
O43824
O43830
O43930
O60361
O60613
O60774
O75044
O75343
P0C604
P0C617
P0C623
P0C626
P0C628
P0C629
P0C645
P0C646
P0C7N1
P0C7N5
P0C7N8
P0C7P4
P0C7Q3
P0C7V5
P0C7V7
P0C7X5
P0CG00
P0CG22
P0CJ79
P18089
P21108
P21127
P47883
P47884
P52743
P54792
P55198
P59074
P59922
P62341
P80303
P82921
Q13434
Q14409
Q14591
Q15614
Q15940
Q2VIR3
Q3SXZ3
Q49A33
Q4TT42
Q4V348
Q58G82
Q59GN2
Q5JNZ5
Q5JXB2
Q5T1J5
Q5T2L2
Q5T4J0
Q5T8I0
Q5TCX8
Q5VTE0
Q63ZY6
Q6A1A2
Q6NXS1
Q6P474
Q6S5H4
Q6S8J7
Q6VEQ5
Q6ZMV5
Q6ZQV5
Q6ZTB9
Q7RTY9
Q86VQ6
Q86XN6
Q8IYB9
Q8IZJ6
Q8IZP2
Q8NEA9
Q8NFI4
Q8NGA2
Q8NGC8
Q8NGG1
Q8NGH6
Q8NGI1
Q8NGJ3
Q8NGM4
Q8NGM6
Q8NGN7
Q8NGN8
Q8NGU1
Q8NGU4
Q8NGY7
Q8NH06
Q8NH08
Q8NH57
Q8NH68
Q8NH77
Q8NH89
Q8NHA6
Q8NHA8
Q8NHC6
Q8NHM4
Q8NHW5
Q8TD94
Q8TF27
Q8WZA6
Q92670
Q92771
Q92777
Q92928
Q96P88
Q96PQ5
Q96R72
Q96R84
Q96T98
Q96TA0
Q9BY60
Q9BYB0
Q9BZ01
Q9BZ68
Q9BZK3
Q9H227
Q9H4G8
Q9HAU6
Q9HBA9
Q9NQ39
Q9NQA3
Q9NRY6
Q9NSJ1
Q9NYL2
Q9UK13
Q9Y4K4
Q9Y5G9
