Ensembl Gene ID	UniProt/TrEMBL Accession
ENSG00000205246	A6NE09
ENSG00000262246	B3KSY4
ENSG00000174093	E7EWZ2
ENSG00000261674	E7EWZ2
ENSG00000223524	F5GW92
ENSG00000255940	F5GW92
ENSG00000113658	F5GWU7
ENSG00000154035	H3BMV2
ENSG00000183704	I3L094
ENSG00000268412	M0R242
ENSG00000269383	M0R312
ENSG00000226976	Q5T8I0
