172113,WBGene00017882
176677,WBGene00013732
178598,WBGene00021747
185648,WBGene00018326
187992,WBGene00020164
188636,WBGene00011862
189136,WBGene00020959
190265,WBGene00021851
191348,WBGene00013995
191959,WBGene00005646
353489,WBGene00022432
2565697,WBGene00010965
2565698,WBGene00010959
2565700,WBGene00010964
2565705,WBGene00010963
3565412,WBGene00013016
13180879,WBGene00009919
13180975,WBGene00003818
13182700,WBGene00009065
13186920,WBGene00014848
13186977,WBGene00004215
13187896,WBGene00012230
13188030,WBGene00006787
13188983,WBGene00004213
13190952,WBGene00014075
13192683,WBGene00000481
13192684,WBGene00006756
13197264,WBGene00006438
13198805,WBGene00007201
13198854,WBGene00006763
13200504,WBGene00012543
13216190,WBGene00000233
13217576,WBGene00012019
13223545,WBGene00000406
